M_over_N,M_data,stream_index,ideal_F_echo,transpiled_depth_local,local_cx_count,generic_noise_F_echo,shot_ci95_halfwidth,counts
16,64,6,0.7217599613305369,831,432,0.33544921875,0.020448835158917537,"{""00"": 687, ""01"": 473, ""10"": 450, ""11"": 438}"
16,64,7,0.9550999047664477,808,420,0.4072265625,0.021279112546769292,"{""00"": 834, ""01"": 408, ""10"": 410, ""11"": 396}"
16,64,8,0.8901650429449554,877,456,0.380859375,0.02103139455839132,"{""00"": 780, ""01"": 450, ""10"": 408, ""11"": 410}"
16,64,9,0.8832835653309083,808,420,0.39306640625,0.021154104597147477,"{""00"": 805, ""01"": 419, ""10"": 437, ""11"": 387}"
16,64,10,0.9737643632790332,716,372,0.43994140625,0.021498355855113713,"{""00"": 901, ""01"": 382, ""10"": 392, ""11"": 373}"
16,64,11,0.8982315199883694,647,336,0.42529296875,0.02141206000744363,"{""00"": 871, ""01"": 390, ""10"": 370, ""11"": 417}"
16,64,12,0.8305820074700946,831,432,0.37841796875,0.021005169769807094,"{""00"": 775, ""01"": 427, ""10"": 435, ""11"": 411}"
16,64,13,0.9927944801512113,808,420,0.4267578125,0.021421550778189868,"{""00"": 874, ""01"": 387, ""10"": 396, ""11"": 391}"
16,64,14,0.9164520708247624,831,432,0.40234375,0.021238090038578936,"{""00"": 824, ""01"": 440, ""10"": 403, ""11"": 381}"
16,64,15,0.9364354462538618,900,468,0.37255859375,0.020939917954098962,"{""00"": 763, ""01"": 419, ""10"": 444, ""11"": 422}"
16,64,16,0.9364354462538618,670,348,0.42626953125,0.02141840853544837,"{""00"": 873, ""01"": 395, ""10"": 364, ""11"": 416}"
16,64,17,0.5311029966732187,716,372,0.34130859375,0.020535520051306384,"{""00"": 699, ""01"": 446, ""10"": 495, ""11"": 408}"
16,64,18,0.7840303886242892,762,396,0.38330078125,0.021057055730277913,"{""00"": 785, ""01"": 451, ""10"": 435, ""11"": 377}"
16,64,19,0.8664192945248947,716,372,0.41015625,0.02130268046343501,"{""00"": 840, ""01"": 398, ""10"": 386, ""11"": 424}"
