path,M_fetched,M_used,stream_id,success_probability,overlap_probability,conditional_direction_fidelity,phase_insensitive_l2,max_abs_phase_used,max_abs_phase_discarded,signal_outside_fit_fraction_used,phase_branch_ambiguity_fraction_used,block_unitarity_error,unused_fraction
active_sampled,2048,1536,11,0.04433917511972507,0.03901773381160729,0.8799833038447653,0.35192541016006756,0.9291760648446991,0.9327486067198653,0.0,0.0,2.442243464655787e-16,0.25
active_sampled,2048,1536,12,0.04820321015886328,0.04126279645564123,0.8560176037996529,0.3867500641717822,0.940259969573882,1.055046514134951,0.0,0.0,2.401551549328276e-16,0.25
active_sampled,2048,1536,13,0.05308312945814703,0.04757915148804644,0.8963139885254852,0.32637828901580596,1.01895083922703,0.8921956725669151,0.005208333333333333,0.0,2.234623651793058e-16,0.25
active_sampled,2048,1536,14,0.044714642925584025,0.04029741209903308,0.9012128793267501,0.31836354577550013,1.1186414644684002,0.8299699964846285,0.010416666666666666,0.0,2.496143407771966e-16,0.25
active_sampled,2048,1536,15,0.05110701051930963,0.042704612271283277,0.8355920613894703,0.4144701477858318,1.0027427762144017,0.7527412414176515,0.005208333333333333,0.0,2.3281058530852776e-16,0.25
active_sampled,2048,1536,16,0.04819030894566657,0.0397852017054715,0.8255851140180149,0.4275110669774226,0.9209977239332874,0.8983041055297886,0.0,0.0,2.4358411735923645e-16,0.25
active_sampled,2048,1536,17,0.046383124628986486,0.03998326465115205,0.86202180148435,0.3782821911513951,0.9387644162126582,0.7265368288268927,0.0,0.0,2.389419266419289e-16,0.25
active_sampled,2048,1536,18,0.05088971666690306,0.04436447578662853,0.8717768282542172,0.3641705660627554,1.167258403828876,1.1021502160988477,0.010416666666666666,0.0,2.4365712773524673e-16,0.25
active_sampled,2048,1536,19,0.0366870630940974,0.03154432585438156,0.8598215063842692,0.3814037041047065,0.8726431453307493,0.7718366968921719,0.0,0.0,2.2473825829221657e-16,0.25
active_sampled,2048,1536,20,0.04958594824507024,0.044578126199032585,0.8990072344429649,0.32199403631348417,0.9699180567216026,0.9998604921645586,0.0,0.0,2.413823346637564e-16,0.25
active_sampled,2048,1536,21,0.0478316820962492,0.04196569775081396,0.8773619473881051,0.3558763554145515,0.7571281536809171,0.8864177175411587,0.0,0.0,2.421912442533941e-16,0.25
active_sampled,2048,1536,22,0.044953409403370656,0.03902790047310053,0.8681855501303573,0.36941913750442484,0.839096489971473,0.6935364694855357,0.0,0.0,2.4797880749237926e-16,0.25
active_sampled,2048,1536,23,0.05008007307758092,0.044174350900635026,0.8820744097598038,0.34874585228349564,1.1090418833060403,0.7934025090979382,0.010416666666666666,0.0,2.248364430097305e-16,0.25
active_sampled,2048,1536,24,0.05620190925526551,0.04867318555122446,0.8660414956750657,0.37252246914020154,0.9431656855584087,0.8777268358327803,0.0,0.0,2.3686312491008326e-16,0.25
active_sampled,2048,1536,25,0.055560540780718384,0.046253424096417264,0.8324869313091524,0.41855174610038937,1.0199570707731556,0.9024247056294806,0.005208333333333333,0.0,2.388769047539129e-16,0.25
active_sampled,2048,1536,26,0.05307422274782869,0.047940444209713655,0.9032717151128687,0.314941013336472,1.0957099202576799,0.9099865304985874,0.015625,0.0,2.28554354267602e-16,0.25
active_sampled,2048,1536,27,0.05255309213397926,0.042679899908999154,0.8121291854757221,0.4445624714197256,0.9109021874441041,1.0560135779739392,0.0,0.0,2.3904777746078327e-16,0.25
active_sampled,2048,1536,28,0.04272486122051096,0.03582223019303076,0.8384399426868953,0.41069779053282784,1.1372386940691452,1.2279842091658268,0.010416666666666666,0.0,2.249973143381478e-16,0.25
active_sampled,2048,1536,29,0.04796527987178537,0.043991912279433276,0.9171615884870641,0.2909105107427854,0.8647523218544,0.7738318749749724,0.0,0.0,2.4420722096568865e-16,0.25
active_sampled,2048,1536,30,0.04535954572506544,0.040635509591601754,0.8958535395813453,0.3271226112469776,1.2420385924351651,0.9503241727869788,0.010416666666666666,0.0,2.485844590076031e-16,0.25
active_sampled,2048,1536,31,0.045970061038065224,0.042068691356943924,0.9151323797919085,0.2945317741481647,0.9000094477837158,0.9745057940890766,0.0,0.0,2.460302965002359e-16,0.25
active_sampled,2048,1536,32,0.04212599943613831,0.0382423673433064,0.907809140558923,0.3072777666523443,0.9512669983073971,0.9723434709789363,0.0,0.0,2.251650298078718e-16,0.25
active_sampled,2048,1536,33,0.05348709898577542,0.047555983243513386,0.8891112837538753,0.33785506687427086,0.8511891962628338,0.7914066225584644,0.0,0.0,2.449225358606063e-16,0.25
active_sampled,2048,1536,34,0.057687395834372476,0.05136634432072068,0.89042577807117,0.3357863959447632,0.8831798109231241,0.8379163992552471,0.0,0.0,2.2531093349370943e-16,0.25
active_sampled,2048,1536,35,0.06077591399788611,0.05508778047824938,0.9064080958151519,0.30966216881615904,0.9889196643768857,0.959533973118429,0.0,0.0,2.4574514027029124e-16,0.25
active_sampled,2048,1536,36,0.05813873267409554,0.05117600436730426,0.8802394206660509,0.3515373239647355,0.8938176579634477,0.8172489583541809,0.0,0.0,2.4416257136906597e-16,0.25
active_sampled,2048,1536,37,0.04342055716905001,0.039124596439629816,0.901061593643429,0.31861374065507736,0.9676631564633391,0.9991669291058063,0.0,0.0,2.4419130606679706e-16,0.25
active_sampled,2048,1536,38,0.05393019271277809,0.04904995620871119,0.9095082687714819,0.30436350177292415,0.9669781869732654,0.8884978399995025,0.0,0.0,2.4010483901235666e-16,0.25
active_sampled,2048,1536,39,0.04716434381532213,0.04006361611839139,0.8494471220730957,0.39584199675737164,0.9267726618807368,0.7661558637897743,0.0,0.0,2.411184462930447e-16,0.25
active_sampled,4096,3072,0,0.047804703554764086,0.04456999216194355,0.9323348718371423,0.2623932473057258,0.8132381556140151,0.8709978680636384,0.0,0.0,2.4892305507099093e-16,0.25
active_sampled,4096,3072,1,0.042949300140796114,0.03976529975473749,0.925866070561782,0.27488417056212855,0.8714200828241718,0.881633793022053,0.0,0.0,2.403717741842254e-16,0.25
active_sampled,4096,3072,2,0.04823144016199582,0.04536821808360792,0.9406357747400629,0.24550441198000253,0.8691316355569678,0.9118855016738492,0.0,0.0,2.492197496775384e-16,0.25
active_sampled,4096,3072,3,0.04258461575507746,0.03909272104479493,0.9180010281091668,0.28940040814562207,0.9036118878732085,0.8343587385841374,0.0,0.0,2.296452778206792e-16,0.25
active_sampled,4096,3072,4,0.04594328718383392,0.04266585884216537,0.9286636080575928,0.269547991796386,0.8844251041092692,0.9202047565809452,0.0,0.0,2.450509787361215e-16,0.25
active_sampled,4096,3072,5,0.05597048468358974,0.05075497441866253,0.9068167750482895,0.3089683590813321,0.8867780384805074,0.8286484374620302,0.0,0.0,2.361126403306958e-16,0.25
active_sampled,4096,3072,6,0.04596372154505004,0.04146377309122425,0.9020978218786029,0.31689650134540953,0.8915489365147079,0.8985246774059786,0.0,0.0,2.2334085742085777e-16,0.25
active_sampled,4096,3072,7,0.047346066398998826,0.04447880737157599,0.9394403960983869,0.24800268207406745,1.205416762278478,1.122958894076016,0.015625,0.0,2.3543987084983355e-16,0.25
active_sampled,4096,3072,8,0.0483384314887953,0.04533707119409483,0.9379094397095575,0.25116828132318264,1.0264572354113288,0.9258209842413765,0.005208333333333333,0.0,2.4181231240700963e-16,0.25
active_sampled,4096,3072,9,0.043751289727159304,0.040861943671885635,0.933959751282942,0.2591681662971385,0.8457932926653667,0.9331589900083055,0.0,0.0,2.4821798628286255e-16,0.25
active_sampled,4096,3072,10,0.045849023968275435,0.04210969652325242,0.9184425943808447,0.2886031635722638,0.9116263819063704,0.8385936304220165,0.0,0.0,2.2519869406417103e-16,0.25
active_sampled,4096,3072,11,0.05368261994727788,0.04991262175358822,0.9297724627189915,0.26740569815196147,1.1712065337605315,0.9506251981063599,0.015625,0.0,2.372069695285161e-16,0.25
active_sampled,4096,3072,12,0.04814518187180799,0.04320854364115372,0.8974635043689599,0.324513468991216,0.9269641276739559,0.9056461310905162,0.0,0.0,2.395105159258305e-16,0.25
active_sampled,4096,3072,13,0.048037795837998776,0.04502533217641331,0.937289719292188,0.252439133370788,0.981306096865507,0.9110881214151285,0.0,0.0,2.2976092781717754e-16,0.25
active_sampled,4096,3072,14,0.04729909474313644,0.0431910199015689,0.9131468611846179,0.29803630194104885,1.0562397692104508,0.8345687548917156,0.005208333333333333,0.0,2.252325096974891e-16,0.25
active_sampled,4096,3072,15,0.04786845529989628,0.0433492509463915,0.9055911805552963,0.31104486365490297,0.9510749322298566,0.880677382015843,0.0,0.0,2.364143569833954e-16,0.25
active_sampled,4096,3072,16,0.044230810390314804,0.04169734291646303,0.9427216582401455,0.2410869343709311,0.9287467157436151,0.907189085234757,0.0,0.0,2.492270633331814e-16,0.25
active_sampled,4096,3072,17,0.04758580096219665,0.043877860637478505,0.9220788502086195,0.28195968235754376,1.0430895182208375,0.8781140672703028,0.005208333333333333,0.0,2.4067213531506004e-16,0.25
active_sampled,4096,3072,18,0.0455550693696239,0.04190754469073048,0.9199315305768014,0.28589994108327577,0.9932848518192208,1.013600864838164,0.0,0.0,2.350139411856197e-16,0.25
active_sampled,4096,3072,19,0.04462343198070229,0.04247394903546862,0.9518306223922169,0.22082539713832627,0.8274672173605931,0.8514162263271889,0.0,0.0,2.416570885901751e-16,0.25
active_sampled,4096,3072,20,0.05108515919597009,0.0460273363184745,0.900992324246401,0.31872823920577636,0.8838322213299394,0.7636822084396944,0.0,0.0,2.473589198931139e-16,0.25
active_sampled,4096,3072,21,0.04844525864741428,0.04433678521168576,0.9151934874446623,0.2944233154937706,0.8634005158888733,0.7525103523538773,0.0,0.0,2.4703985456154913e-16,0.25
active_sampled,4096,3072,22,0.04516377322346052,0.04251201495309916,0.9412857234659949,0.244136002442387,0.8489383607323704,0.8798441196409216,0.0,0.0,2.4315270950459187e-16,0.25
active_sampled,4096,3072,23,0.04804163063672985,0.04443002474411142,0.9248234115963331,0.27684871405858175,0.996351820245774,0.8990505706536035,0.0,0.0,2.336563678871168e-16,0.25
active_sampled,4096,3072,24,0.05344180604953157,0.050151985942523375,0.9384410754389721,0.2500732535702937,0.8562726161426613,0.7015665506702191,0.0,0.0,2.4611353393157386e-16,0.25
active_sampled,4096,3072,25,0.051718932271976395,0.04724096357929348,0.9134172246802303,0.2975613029882378,0.8882079072501752,0.8595953330977452,0.0,0.0,2.4344995366881763e-16,0.25
active_sampled,4096,3072,26,0.042282482999309534,0.03963102983322291,0.937291923794307,0.25243462322539995,0.9727881941281066,0.8062502107026722,0.0,0.0,2.429091719863993e-16,0.25
active_sampled,4096,3072,27,0.04964276087070982,0.04552256824704607,0.9170031531003197,0.29119472542564395,0.9743410381860353,0.8027864534643544,0.0,0.0,2.3985164803861425e-16,0.25
active_sampled,4096,3072,28,0.04192422211242334,0.039452271006510845,0.9410376393082799,0.2446591690389497,1.2958777166297542,1.3446920659970154,0.015625,0.0,2.2416572683994325e-16,0.25
active_sampled,4096,3072,29,0.04710283852367373,0.04370653095155149,0.9278959043961805,0.271022007945492,0.9558839282738483,0.9180966369601702,0.0,0.0,2.4554045105175493e-16,0.25
active_sampled,4096,3072,30,0.05286387409585934,0.048614039251625905,0.9196079569097205,0.2864893844529339,0.9612455554181529,0.888997583113627,0.0,0.0,2.2789830581848645e-16,0.25
